BuyItNow,startprice,carrier,color,productline,noDescription,charCountDescription,upperCaseDescription,sold
0,199.99,None,White,Galaxy_S9,contains description,0,0,1
0,235,None,,Galaxy_Note9,contains description,0,0,0
0,199.99,,,Unknown,no description,100,2,0
1,175,AT&T,Space Gray,Galaxy_Note9,contains description,0,0,1
1,100,None,Space Gray,Galaxy_S8,contains description,0,0,1
1,0.99,,White,Galaxy_S7,contains description,0,0,1
1,150,None,White,Galaxy_S9,contains description,0,0,1
0,199.99,None,Midnight Black,Galaxy_S9,no description,92,0,1
0,99.99,None,White,Galaxy_S7,contains description,0,0,0
1,20,AT&T,Midnight Black,Galaxy_S7,no description,96,41,1
0,75,None,Midnight Black,Galaxy_S7,contains description,0,0,1
0,199.99,None,White,Galaxy_S9,no description,98,3,1
0,344.95,None,Space Gray,Galaxy_Note10,contains description,0,0,0
0,184.5,None,Midnight Black,Galaxy_Note8,no description,100,4,1
0,209.98,None,White,Galaxy_Note9,no description,100,6,0
0,375,None,White,Galaxy_Note10,contains description,0,0,1
0,95,None,Midnight Black,Galaxy_S7,contains description,0,0,0
0,187.5,None,Midnight Black,Galaxy_Note8,no description,84,3,0
0,329.99,,Space Gray,Unknown,contains description,0,0,0
0,149,Sprint/T-Mobile,White,Galaxy_Note10,contains description,0,0,0
0,238.8,None,Space Gray,Galaxy_Note9,no description,96,4,0
0,84.99,AT&T,,Galaxy_S7,no description,16,15,1
0,249.99,None,,Galaxy_S9,no description,101,2,0
0,309.99,None,White,Galaxy_S9,no description,92,20,0
0,319.95,None,Space Gray,Galaxy_Note10,no description,71,6,1
0,185,None,,Galaxy_Note8,no description,96,2,1
0,90,None,,Galaxy_S7,no description,98,2,1
0,299.98,None,,Galaxy_Note10,no description,100,6,0
1,49,None,Aura Black,Galaxy_Note10,contains description,0,0,1
0,444.99,None,,Galaxy_Note10,contains description,0,0,0
0,480,None,,Galaxy_Note10,no description,77,1,0
0,225,AT&T,,Galaxy_Note8,no description,20,1,1
0,79,None,Midnight Black,Galaxy_S7,contains description,0,0,0
0,159.99,None,Midnight Black,Galaxy_Note8,no description,101,3,0
0,199.99,None,Midnight Black,Galaxy_Note8,contains description,0,0,1
0,115,None,,Galaxy_S7,no description,14,1,0
0,289.95,,Midnight Black,Galaxy_S7,contains description,0,0,0
0,499.95,None,White,Galaxy_Note10,no description,81,7,0
0,550,None,Aura Black,Galaxy_Note10,contains description,0,0,0
0,209.99,None,White,Galaxy_Note8,no description,100,2,0
0,185,None,,Galaxy_Note8,no description,96,2,1
1,100,Verizon,,Galaxy_S9,no description,11,0,1
1,279.99,Verizon,,Galaxy_Note10,contains description,0,0,1
0,614.99,None,,Galaxy_Note10,contains description,0,0,1
0,259,AT&T,,Galaxy_Note8,no description,81,2,0
0,240,None,White,Galaxy_S9,contains description,0,0,0
0,69.99,None,Midnight Black,Galaxy_S7,contains description,0,0,0
0,398.99,None,,Galaxy_Note10,no description,8,2,0
1,175,None,,Galaxy_Note9,contains description,0,0,1
0,84.99,None,Space Gray,Galaxy_S8,contains description,0,0,0
0,269.99,None,Midnight Black,Galaxy_S7,contains description,0,0,0
0,295,Verizon,,Galaxy_S9,no description,31,1,0
0,210,Sprint/T-Mobile,White,Galaxy_S8,no description,70,3,0
1,160,None,White,Galaxy_Note10,contains description,0,0,1
0,304.89,None,,Galaxy_S9,no description,96,15,0
0,195,None,,Galaxy_S8,contains description,0,0,0
0,319,,Gold,Unknown,contains description,0,0,0
0,389.99,None,Space Gray,Galaxy_Note10,contains description,0,0,0
0,79.99,AT&T,Midnight Black,Galaxy_S7,no description,93,4,1
0,254.99,AT&T,,Galaxy_S9,contains description,0,0,0
1,115,AT&T,Midnight Black,Galaxy_Note8,no description,101,2,1
0,279.99,,,Galaxy_Note10,no description,86,3,0
1,75,None,,Galaxy_S7,contains description,0,0,1
1,135,None,,Galaxy_S8,contains description,0,0,1
0,130,None,Midnight Black,Galaxy_S8,no description,93,6,1
1,50,None,Midnight Black,Galaxy_S7,contains description,0,0,1
0,380,None,,Galaxy_Note10,contains description,0,0,1
0,169.95,None,Midnight Black,Galaxy_S7,contains description,0,0,0
0,319.85,None,Aura Black,Galaxy_Note10,contains description,0,0,0
0,329.99,AT&T,,Galaxy_Note10,contains description,0,0,0
0,130,None,Midnight Black,Galaxy_S8,no description,93,6,1
0,550,None,Gold,Galaxy_Note10,contains description,0,0,0
1,305,None,White,Galaxy_Note10,contains description,0,0,1
1,450,None,,Galaxy_Note10,contains description,0,0,1
0,194.29,None,White,Galaxy_S8,no description,96,15,0
0,193.15,,,Unknown,contains description,0,0,0
1,62,None,Midnight Black,Galaxy_S7,contains description,0,0,1
0,489.99,None,,Galaxy_Note10,no description,86,5,0
1,99,None,White,Galaxy_Note8,contains description,0,0,1
1,45,None,,Galaxy_Note8,no description,25,1,1
0,199.99,None,Midnight Black,Galaxy_Note8,contains description,0,0,0
0,264.99,None,Space Gray,Galaxy_Note9,no description,99,4,1
0,349,None,Space Gray,Galaxy_Note10,contains description,0,0,0
1,160,None,Black,Galaxy_Note9,no description,37,1,0
0,295,,White,Galaxy_S9,no description,95,4,0
0,199,None,White,Galaxy_S9,contains description,0,0,1
0,279.95,None,,Galaxy_S7,contains description,0,0,0
0,149.95,,Midnight Black,Galaxy_S7,contains description,0,0,0
1,290,None,White,Galaxy_Note10,contains description,0,0,1
0,339.99,None,Space Gray,Galaxy_Note10,contains description,0,0,1
0,99,AT&T,Midnight Black,Galaxy_S7,no description,98,3,0
0,320,,White,Galaxy_S9,no description,98,2,0
1,255,,Midnight Black,Galaxy_S8,contains description,0,0,0
1,114.99,None,,Galaxy_S8,no description,98,6,1
1,250,None,White,Galaxy_Note10,no description,100,11,1
0,250,None,,Galaxy_Note8,no description,21,1,0
0,549.99,Verizon,Space Gray,Galaxy_Note10,contains description,0,0,0
0,215,AT&T,,Galaxy_S8,contains description,0,0,1
1,325,None,Space Gray,Galaxy_Note10,contains description,0,0,1
1,199.99,Sprint/T-Mobile,White,Galaxy_Note10,no description,43,1,1
0,249.99,Verizon,Midnight Black,Galaxy_S9,no description,98,4,0
0,299.99,,White,Galaxy_S8,contains description,0,0,0
1,159.99,None,White,Galaxy_S8,contains description,0,0,1
1,9.99,None,White,Galaxy_Note8,contains description,0,0,1
1,125,None,Midnight Black,Galaxy_S9,contains description,0,0,1
0,344,None,,Galaxy_S9,no description,31,1,0
1,100,None,,Galaxy_S7,contains description,0,0,0
0,250,None,,Galaxy_Note8,no description,21,1,0
1,100,,,Unknown,no description,33,4,1
